127.0.0.1 - - [10/Jun/2024:21:53:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:19 +0530] "GET /Job_Portal/ HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:23 +0530] "GET /Job_Portal/login.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:32 +0530] "POST /Job_Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:32 +0530] "GET /Job_Portal/admin.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:32 +0530] "GET /Job_Portal/img/j2.jpeg HTTP/1.1" 200 746659
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:38 +0530] "GET /Job_Portal/admin.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:39 +0530] "GET /Job_Portal/index.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:41 +0530] "GET /Job_Portal/login.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:48 +0530] "POST /Job_Portal/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:53 +0530] "POST /Job_Portal/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:55 +0530] "GET /Job_Portal/index.jsp HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:53:58 +0530] "GET /Job_Portal/login.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:54:06 +0530] "POST /Job_Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:21:54:06 +0530] "GET /Job_Portal/admin.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [10/Jun/2024:22:09:33 +0530] "GET /Job_Portal/admin.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [10/Jun/2024:22:09:36 +0530] "GET /Job_Portal/login.jsp HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [10/Jun/2024:22:09:45 +0530] "POST /Job_Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:22:09:45 +0530] "GET /Job_Portal/admin.jsp HTTP/1.1" 200 2459
