127.0.0.1 - - [22/Jul/2024:14:07:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:07:29 +0530] "GET /Job_Portal/ HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:07:29 +0530] "GET /Job_Portal/all_component/style.css HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:07:30 +0530] "GET /Job_Portal/img/j1.jpeg HTTP/1.1" 200 154455
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:07:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:07:33 +0530] "GET /Job_Portal/login.jsp HTTP/1.1" 200 3135
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:07:45 +0530] "POST /Job_Portal/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:25 +0530] "POST /Job_Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:25 +0530] "GET /Job_Portal/admin.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:25 +0530] "GET /Job_Portal/img/j2.jpeg HTTP/1.1" 200 746659
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:28 +0530] "GET /Job_Portal/view_job.jsp HTTP/1.1" 200 3596
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:34 +0530] "GET /Job_Portal/add_job.jsp HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:47 +0530] "POST /Job_Portal/add_job HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:47 +0530] "GET /Job_Portal/add_job.jsp HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:08:49 +0530] "GET /Job_Portal/view_job.jsp HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:12 +0530] "GET /Job_Portal/index.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:15 +0530] "GET /Job_Portal/view_job.jsp HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:16 +0530] "GET /Job_Portal/add_job.jsp HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:16 +0530] "GET /Job_Portal/view_job.jsp HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:47 +0530] "GET /Job_Portal/ HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:58 +0530] "GET /Job_Portal/view_job.jsp HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:15:59 +0530] "GET /Job_Portal/add_job.jsp HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:16:00 +0530] "GET /Job_Portal/index.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:16:00 +0530] "GET /Job_Portal/index.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Jul/2024:14:16:01 +0530] "GET /Job_Portal/index.jsp HTTP/1.1" 200 2689
